Algorithm: search.LinearSearcher | Slice Size: 1000 | Order: Ascending | Avg Time: 238 ns
Slice Size: 1000 | Order: Ascending | Iteration: 1 | Time: 461 ns
Slice Size: 1000 | Order: Ascending | Iteration: 2 | Time: 165 ns
Slice Size: 1000 | Order: Ascending | Iteration: 3 | Time: 196 ns
Slice Size: 1000 | Order: Ascending | Iteration: 4 | Time: 198 ns
Slice Size: 1000 | Order: Ascending | Iteration: 5 | Time: 171 ns
Algorithm: search.LinearSearcher | Slice Size: 1000 | Order: Descending | Avg Time: 326 ns
Slice Size: 1000 | Order: Descending | Iteration: 1 | Time: 430 ns
Slice Size: 1000 | Order: Descending | Iteration: 2 | Time: 299 ns
Slice Size: 1000 | Order: Descending | Iteration: 3 | Time: 296 ns
Slice Size: 1000 | Order: Descending | Iteration: 4 | Time: 296 ns
Slice Size: 1000 | Order: Descending | Iteration: 5 | Time: 310 ns
Algorithm: search.LinearSearcher | Slice Size: 1000 | Order: Random | Avg Time: 161 ns
Slice Size: 1000 | Order: Random | Iteration: 1 | Time: 245 ns
Slice Size: 1000 | Order: Random | Iteration: 2 | Time: 139 ns
Slice Size: 1000 | Order: Random | Iteration: 3 | Time: 150 ns
Slice Size: 1000 | Order: Random | Iteration: 4 | Time: 137 ns
Slice Size: 1000 | Order: Random | Iteration: 5 | Time: 137 ns
Algorithm: search.LinearSearcher | Slice Size: 10000 | Order: Ascending | Avg Time: 2390 ns
Slice Size: 10000 | Order: Ascending | Iteration: 1 | Time: 2786 ns
Slice Size: 10000 | Order: Ascending | Iteration: 2 | Time: 2322 ns
Slice Size: 10000 | Order: Ascending | Iteration: 3 | Time: 2286 ns
Slice Size: 10000 | Order: Ascending | Iteration: 4 | Time: 2278 ns
Slice Size: 10000 | Order: Ascending | Iteration: 5 | Time: 2282 ns
Algorithm: search.LinearSearcher | Slice Size: 10000 | Order: Descending | Avg Time: 1494 ns
Slice Size: 10000 | Order: Descending | Iteration: 1 | Time: 1753 ns
Slice Size: 10000 | Order: Descending | Iteration: 2 | Time: 1421 ns
Slice Size: 10000 | Order: Descending | Iteration: 3 | Time: 1451 ns
Slice Size: 10000 | Order: Descending | Iteration: 4 | Time: 1424 ns
Slice Size: 10000 | Order: Descending | Iteration: 5 | Time: 1422 ns
Algorithm: search.LinearSearcher | Slice Size: 10000 | Order: Random | Avg Time: 2222 ns
Slice Size: 10000 | Order: Random | Iteration: 1 | Time: 2584 ns
Slice Size: 10000 | Order: Random | Iteration: 2 | Time: 2134 ns
Slice Size: 10000 | Order: Random | Iteration: 3 | Time: 2151 ns
Slice Size: 10000 | Order: Random | Iteration: 4 | Time: 2115 ns
Slice Size: 10000 | Order: Random | Iteration: 5 | Time: 2130 ns
Algorithm: search.LinearSearcher | Slice Size: 50000 | Order: Ascending | Avg Time: 7742 ns
Slice Size: 50000 | Order: Ascending | Iteration: 1 | Time: 10560 ns
Slice Size: 50000 | Order: Ascending | Iteration: 2 | Time: 7080 ns
Slice Size: 50000 | Order: Ascending | Iteration: 3 | Time: 6885 ns
Slice Size: 50000 | Order: Ascending | Iteration: 4 | Time: 7276 ns
Slice Size: 50000 | Order: Ascending | Iteration: 5 | Time: 6911 ns
Algorithm: search.LinearSearcher | Slice Size: 50000 | Order: Descending | Avg Time: 8397 ns
Slice Size: 50000 | Order: Descending | Iteration: 1 | Time: 10350 ns
Slice Size: 50000 | Order: Descending | Iteration: 2 | Time: 7975 ns
Slice Size: 50000 | Order: Descending | Iteration: 3 | Time: 7898 ns
Slice Size: 50000 | Order: Descending | Iteration: 4 | Time: 7974 ns
Slice Size: 50000 | Order: Descending | Iteration: 5 | Time: 7792 ns
Algorithm: search.LinearSearcher | Slice Size: 50000 | Order: Random | Avg Time: 988 ns
Slice Size: 50000 | Order: Random | Iteration: 1 | Time: 1335 ns
Slice Size: 50000 | Order: Random | Iteration: 2 | Time: 906 ns
Slice Size: 50000 | Order: Random | Iteration: 3 | Time: 903 ns
Slice Size: 50000 | Order: Random | Iteration: 4 | Time: 908 ns
Slice Size: 50000 | Order: Random | Iteration: 5 | Time: 891 ns
Algorithm: search.LinearSearcher | Slice Size: 1000000 | Order: Ascending | Avg Time: 2371 ns
Slice Size: 1000000 | Order: Ascending | Iteration: 1 | Time: 3303 ns
Slice Size: 1000000 | Order: Ascending | Iteration: 2 | Time: 2138 ns
Slice Size: 1000000 | Order: Ascending | Iteration: 3 | Time: 2143 ns
Slice Size: 1000000 | Order: Ascending | Iteration: 4 | Time: 2152 ns
Slice Size: 1000000 | Order: Ascending | Iteration: 5 | Time: 2122 ns
Algorithm: search.LinearSearcher | Slice Size: 1000000 | Order: Descending | Avg Time: 8411 ns
Slice Size: 1000000 | Order: Descending | Iteration: 1 | Time: 11540 ns
Slice Size: 1000000 | Order: Descending | Iteration: 2 | Time: 7740 ns
Slice Size: 1000000 | Order: Descending | Iteration: 3 | Time: 7571 ns
Slice Size: 1000000 | Order: Descending | Iteration: 4 | Time: 7662 ns
Slice Size: 1000000 | Order: Descending | Iteration: 5 | Time: 7544 ns
Algorithm: search.LinearSearcher | Slice Size: 1000000 | Order: Random | Avg Time: 15682 ns
Slice Size: 1000000 | Order: Random | Iteration: 1 | Time: 23275 ns
Slice Size: 1000000 | Order: Random | Iteration: 2 | Time: 14144 ns
Slice Size: 1000000 | Order: Random | Iteration: 3 | Time: 13766 ns
Slice Size: 1000000 | Order: Random | Iteration: 4 | Time: 13698 ns
Slice Size: 1000000 | Order: Random | Iteration: 5 | Time: 13530 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 1000 | Order: Ascending | Avg Time: 1962 ns
Slice Size: 1000 | Order: Ascending | Iteration: 1 | Time: 2112 ns
Slice Size: 1000 | Order: Ascending | Iteration: 2 | Time: 1933 ns
Slice Size: 1000 | Order: Ascending | Iteration: 3 | Time: 1922 ns
Slice Size: 1000 | Order: Ascending | Iteration: 4 | Time: 1943 ns
Slice Size: 1000 | Order: Ascending | Iteration: 5 | Time: 1900 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 1000 | Order: Descending | Avg Time: 1385 ns
Slice Size: 1000 | Order: Descending | Iteration: 1 | Time: 1480 ns
Slice Size: 1000 | Order: Descending | Iteration: 2 | Time: 1372 ns
Slice Size: 1000 | Order: Descending | Iteration: 3 | Time: 1359 ns
Slice Size: 1000 | Order: Descending | Iteration: 4 | Time: 1369 ns
Slice Size: 1000 | Order: Descending | Iteration: 5 | Time: 1348 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 1000 | Order: Random | Avg Time: 81 ns
Slice Size: 1000 | Order: Random | Iteration: 1 | Time: 149 ns
Slice Size: 1000 | Order: Random | Iteration: 2 | Time: 71 ns
Slice Size: 1000 | Order: Random | Iteration: 3 | Time: 72 ns
Slice Size: 1000 | Order: Random | Iteration: 4 | Time: 59 ns
Slice Size: 1000 | Order: Random | Iteration: 5 | Time: 56 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 10000 | Order: Ascending | Avg Time: 27756 ns
Slice Size: 10000 | Order: Ascending | Iteration: 1 | Time: 27745 ns
Slice Size: 10000 | Order: Ascending | Iteration: 2 | Time: 27784 ns
Slice Size: 10000 | Order: Ascending | Iteration: 3 | Time: 27751 ns
Slice Size: 10000 | Order: Ascending | Iteration: 4 | Time: 27739 ns
Slice Size: 10000 | Order: Ascending | Iteration: 5 | Time: 27765 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 10000 | Order: Descending | Avg Time: 19828 ns
Slice Size: 10000 | Order: Descending | Iteration: 1 | Time: 19884 ns
Slice Size: 10000 | Order: Descending | Iteration: 2 | Time: 20027 ns
Slice Size: 10000 | Order: Descending | Iteration: 3 | Time: 19825 ns
Slice Size: 10000 | Order: Descending | Iteration: 4 | Time: 19723 ns
Slice Size: 10000 | Order: Descending | Iteration: 5 | Time: 19683 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 10000 | Order: Random | Avg Time: 123 ns
Slice Size: 10000 | Order: Random | Iteration: 1 | Time: 216 ns
Slice Size: 10000 | Order: Random | Iteration: 2 | Time: 141 ns
Slice Size: 10000 | Order: Random | Iteration: 3 | Time: 94 ns
Slice Size: 10000 | Order: Random | Iteration: 4 | Time: 82 ns
Slice Size: 10000 | Order: Random | Iteration: 5 | Time: 83 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 50000 | Order: Ascending | Avg Time: 48257 ns
Slice Size: 50000 | Order: Ascending | Iteration: 1 | Time: 48020 ns
Slice Size: 50000 | Order: Ascending | Iteration: 2 | Time: 48343 ns
Slice Size: 50000 | Order: Ascending | Iteration: 3 | Time: 48479 ns
Slice Size: 50000 | Order: Ascending | Iteration: 4 | Time: 48113 ns
Slice Size: 50000 | Order: Ascending | Iteration: 5 | Time: 48333 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 50000 | Order: Descending | Avg Time: 25946 ns
Slice Size: 50000 | Order: Descending | Iteration: 1 | Time: 25771 ns
Slice Size: 50000 | Order: Descending | Iteration: 2 | Time: 26056 ns
Slice Size: 50000 | Order: Descending | Iteration: 3 | Time: 25986 ns
Slice Size: 50000 | Order: Descending | Iteration: 4 | Time: 25819 ns
Slice Size: 50000 | Order: Descending | Iteration: 5 | Time: 26098 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 50000 | Order: Random | Avg Time: 269 ns
Slice Size: 50000 | Order: Random | Iteration: 1 | Time: 716 ns
Slice Size: 50000 | Order: Random | Iteration: 2 | Time: 213 ns
Slice Size: 50000 | Order: Random | Iteration: 3 | Time: 149 ns
Slice Size: 50000 | Order: Random | Iteration: 4 | Time: 163 ns
Slice Size: 50000 | Order: Random | Iteration: 5 | Time: 106 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 1000000 | Order: Ascending | Avg Time: 54464 ns
Slice Size: 1000000 | Order: Ascending | Iteration: 1 | Time: 54610 ns
Slice Size: 1000000 | Order: Ascending | Iteration: 2 | Time: 54382 ns
Slice Size: 1000000 | Order: Ascending | Iteration: 3 | Time: 54460 ns
Slice Size: 1000000 | Order: Ascending | Iteration: 4 | Time: 54426 ns
Slice Size: 1000000 | Order: Ascending | Iteration: 5 | Time: 54443 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 1000000 | Order: Descending | Avg Time: 40690 ns
Slice Size: 1000000 | Order: Descending | Iteration: 1 | Time: 40505 ns
Slice Size: 1000000 | Order: Descending | Iteration: 2 | Time: 40755 ns
Slice Size: 1000000 | Order: Descending | Iteration: 3 | Time: 40897 ns
Slice Size: 1000000 | Order: Descending | Iteration: 4 | Time: 40885 ns
Slice Size: 1000000 | Order: Descending | Iteration: 5 | Time: 40408 ns
Algorithm: search.BinarySearchTreeSearcher | Slice Size: 1000000 | Order: Random | Avg Time: 219 ns
Slice Size: 1000000 | Order: Random | Iteration: 1 | Time: 635 ns
Slice Size: 1000000 | Order: Random | Iteration: 2 | Time: 153 ns
Slice Size: 1000000 | Order: Random | Iteration: 3 | Time: 132 ns
Slice Size: 1000000 | Order: Random | Iteration: 4 | Time: 88 ns
Slice Size: 1000000 | Order: Random | Iteration: 5 | Time: 87 ns
Algorithm: search.BinarySearcher | Slice Size: 1000 | Order: Ascending | Avg Time: 114 ns
Slice Size: 1000 | Order: Ascending | Iteration: 1 | Time: 212 ns
Slice Size: 1000 | Order: Ascending | Iteration: 2 | Time: 115 ns
Slice Size: 1000 | Order: Ascending | Iteration: 3 | Time: 98 ns
Slice Size: 1000 | Order: Ascending | Iteration: 4 | Time: 75 ns
Slice Size: 1000 | Order: Ascending | Iteration: 5 | Time: 73 ns
Algorithm: search.BinarySearcher | Slice Size: 10000 | Order: Ascending | Avg Time: 170 ns
Slice Size: 10000 | Order: Ascending | Iteration: 1 | Time: 304 ns
Slice Size: 10000 | Order: Ascending | Iteration: 2 | Time: 245 ns
Slice Size: 10000 | Order: Ascending | Iteration: 3 | Time: 147 ns
Slice Size: 10000 | Order: Ascending | Iteration: 4 | Time: 80 ns
Slice Size: 10000 | Order: Ascending | Iteration: 5 | Time: 77 ns
Algorithm: search.BinarySearcher | Slice Size: 50000 | Order: Ascending | Avg Time: 194 ns
