Algorithm: search.LinearSearcher | Array Size: 1000 | Order: Ascending | Avg Time: 157 ns
Array Size: 1000 | Order: Ascending | Iteration: 1 | Time: 413 ns
Array Size: 1000 | Order: Ascending | Iteration: 2 | Time: 82 ns
Array Size: 1000 | Order: Ascending | Iteration: 3 | Time: 142 ns
Array Size: 1000 | Order: Ascending | Iteration: 4 | Time: 84 ns
Array Size: 1000 | Order: Ascending | Iteration: 5 | Time: 68 ns
Algorithm: search.LinearSearcher | Array Size: 1000 | Order: Descending | Avg Time: 138 ns
Array Size: 1000 | Order: Descending | Iteration: 1 | Time: 221 ns
Array Size: 1000 | Order: Descending | Iteration: 2 | Time: 115 ns
Array Size: 1000 | Order: Descending | Iteration: 3 | Time: 132 ns
Array Size: 1000 | Order: Descending | Iteration: 4 | Time: 112 ns
Array Size: 1000 | Order: Descending | Iteration: 5 | Time: 112 ns
Algorithm: search.LinearSearcher | Array Size: 1000 | Order: Random | Avg Time: 162 ns
Array Size: 1000 | Order: Random | Iteration: 1 | Time: 303 ns
Array Size: 1000 | Order: Random | Iteration: 2 | Time: 122 ns
Array Size: 1000 | Order: Random | Iteration: 3 | Time: 139 ns
Array Size: 1000 | Order: Random | Iteration: 4 | Time: 122 ns
Array Size: 1000 | Order: Random | Iteration: 5 | Time: 124 ns
Algorithm: search.LinearSearcher | Array Size: 10000 | Order: Ascending | Avg Time: 564 ns
Array Size: 10000 | Order: Ascending | Iteration: 1 | Time: 815 ns
Array Size: 10000 | Order: Ascending | Iteration: 2 | Time: 508 ns
Array Size: 10000 | Order: Ascending | Iteration: 3 | Time: 498 ns
Array Size: 10000 | Order: Ascending | Iteration: 4 | Time: 507 ns
Array Size: 10000 | Order: Ascending | Iteration: 5 | Time: 496 ns
Algorithm: search.LinearSearcher | Array Size: 10000 | Order: Descending | Avg Time: 1640 ns
Array Size: 10000 | Order: Descending | Iteration: 1 | Time: 2003 ns
Array Size: 10000 | Order: Descending | Iteration: 2 | Time: 1552 ns
Array Size: 10000 | Order: Descending | Iteration: 3 | Time: 1547 ns
Array Size: 10000 | Order: Descending | Iteration: 4 | Time: 1552 ns
Array Size: 10000 | Order: Descending | Iteration: 5 | Time: 1548 ns
Algorithm: search.LinearSearcher | Array Size: 10000 | Order: Random | Avg Time: 362 ns
Array Size: 10000 | Order: Random | Iteration: 1 | Time: 452 ns
Array Size: 10000 | Order: Random | Iteration: 2 | Time: 337 ns
Array Size: 10000 | Order: Random | Iteration: 3 | Time: 348 ns
Array Size: 10000 | Order: Random | Iteration: 4 | Time: 338 ns
Array Size: 10000 | Order: Random | Iteration: 5 | Time: 335 ns
Algorithm: search.LinearSearcher | Array Size: 50000 | Order: Ascending | Avg Time: 2477 ns
Array Size: 50000 | Order: Ascending | Iteration: 1 | Time: 3159 ns
Array Size: 50000 | Order: Ascending | Iteration: 2 | Time: 2304 ns
Array Size: 50000 | Order: Ascending | Iteration: 3 | Time: 2263 ns
Array Size: 50000 | Order: Ascending | Iteration: 4 | Time: 2423 ns
Array Size: 50000 | Order: Ascending | Iteration: 5 | Time: 2239 ns
Algorithm: search.LinearSearcher | Array Size: 50000 | Order: Descending | Avg Time: 2177 ns
Array Size: 50000 | Order: Descending | Iteration: 1 | Time: 3331 ns
Array Size: 50000 | Order: Descending | Iteration: 2 | Time: 1905 ns
Array Size: 50000 | Order: Descending | Iteration: 3 | Time: 1886 ns
Array Size: 50000 | Order: Descending | Iteration: 4 | Time: 1891 ns
Array Size: 50000 | Order: Descending | Iteration: 5 | Time: 1876 ns
Algorithm: search.LinearSearcher | Array Size: 50000 | Order: Random | Avg Time: 6080 ns
Array Size: 50000 | Order: Random | Iteration: 1 | Time: 8765 ns
Array Size: 50000 | Order: Random | Iteration: 2 | Time: 5456 ns
Array Size: 50000 | Order: Random | Iteration: 3 | Time: 5386 ns
Array Size: 50000 | Order: Random | Iteration: 4 | Time: 5500 ns
Array Size: 50000 | Order: Random | Iteration: 5 | Time: 5297 ns
Algorithm: search.LinearSearcher | Array Size: 1000000 | Order: Ascending | Avg Time: 518 ns
Array Size: 1000000 | Order: Ascending | Iteration: 1 | Time: 916 ns
Array Size: 1000000 | Order: Ascending | Iteration: 2 | Time: 423 ns
Array Size: 1000000 | Order: Ascending | Iteration: 3 | Time: 431 ns
Array Size: 1000000 | Order: Ascending | Iteration: 4 | Time: 415 ns
Array Size: 1000000 | Order: Ascending | Iteration: 5 | Time: 405 ns
Algorithm: search.LinearSearcher | Array Size: 1000000 | Order: Descending | Avg Time: 5257 ns
Array Size: 1000000 | Order: Descending | Iteration: 1 | Time: 8139 ns
Array Size: 1000000 | Order: Descending | Iteration: 2 | Time: 4561 ns
Array Size: 1000000 | Order: Descending | Iteration: 3 | Time: 4538 ns
Array Size: 1000000 | Order: Descending | Iteration: 4 | Time: 4592 ns
