Algorithm: Linear Search | Array Size: 100000 | Order: Ascending | Avg Time: 0.030568 ms
Array Size: 100000 | Order: Ascending | Iteration: 1 | Time: 0.001425 ms
Array Size: 100000 | Order: Ascending | Iteration: 2 | Time: 0.026660 ms
Array Size: 100000 | Order: Ascending | Iteration: 3 | Time: 0.029771 ms
Array Size: 100000 | Order: Ascending | Iteration: 4 | Time: 0.046971 ms
Array Size: 100000 | Order: Ascending | Iteration: 5 | Time: 0.048017 ms
Algorithm: Linear Search | Array Size: 100000 | Order: Descending | Avg Time: 0.030851 ms
Array Size: 100000 | Order: Descending | Iteration: 1 | Time: 0.006809 ms
Array Size: 100000 | Order: Descending | Iteration: 2 | Time: 0.023948 ms
Array Size: 100000 | Order: Descending | Iteration: 3 | Time: 0.089656 ms
Array Size: 100000 | Order: Descending | Iteration: 4 | Time: 0.025189 ms
Array Size: 100000 | Order: Descending | Iteration: 5 | Time: 0.008654 ms
Algorithm: Linear Search | Array Size: 100000 | Order: Random | Avg Time: 0.003779 ms
Array Size: 100000 | Order: Random | Iteration: 1 | Time: 0.005110 ms
Array Size: 100000 | Order: Random | Iteration: 2 | Time: 0.004615 ms
Array Size: 100000 | Order: Random | Iteration: 3 | Time: 0.006342 ms
Array Size: 100000 | Order: Random | Iteration: 4 | Time: 0.001597 ms
Array Size: 100000 | Order: Random | Iteration: 5 | Time: 0.001234 ms
Algorithm: Linear Search | Array Size: 1000000 | Order: Ascending | Avg Time: 0.391145 ms
Array Size: 1000000 | Order: Ascending | Iteration: 1 | Time: 0.619031 ms
Array Size: 1000000 | Order: Ascending | Iteration: 2 | Time: 0.415164 ms
Array Size: 1000000 | Order: Ascending | Iteration: 3 | Time: 0.591527 ms
Array Size: 1000000 | Order: Ascending | Iteration: 4 | Time: 0.197385 ms
Array Size: 1000000 | Order: Ascending | Iteration: 5 | Time: 0.132620 ms
Algorithm: Linear Search | Array Size: 1000000 | Order: Descending | Avg Time: 0.368502 ms
Array Size: 1000000 | Order: Descending | Iteration: 1 | Time: 0.510862 ms
Array Size: 1000000 | Order: Descending | Iteration: 2 | Time: 0.232521 ms
Array Size: 1000000 | Order: Descending | Iteration: 3 | Time: 0.408175 ms
Array Size: 1000000 | Order: Descending | Iteration: 4 | Time: 0.507153 ms
Array Size: 1000000 | Order: Descending | Iteration: 5 | Time: 0.183799 ms
Algorithm: Linear Search | Array Size: 1000000 | Order: Random | Avg Time: 0.008021 ms
Array Size: 1000000 | Order: Random | Iteration: 1 | Time: 0.001094 ms
