Algorithm: Linear Search | Array Size: 100000 | Order: Ascending | Avg Time: 0.063061 ms
Array Size: 100000 | Order: Ascending | Iteration: 1 | Time: 0.058834 ms
Array Size: 100000 | Order: Ascending | Iteration: 2 | Time: 0.073381 ms
Array Size: 100000 | Order: Ascending | Iteration: 3 | Time: 0.047054 ms
Array Size: 100000 | Order: Ascending | Iteration: 4 | Time: 0.074854 ms
Array Size: 100000 | Order: Ascending | Iteration: 5 | Time: 0.061184 ms
Algorithm: Linear Search | Array Size: 100000 | Order: Descending | Avg Time: 0.017000 ms
Array Size: 100000 | Order: Descending | Iteration: 1 | Time: 0.005538 ms
Array Size: 100000 | Order: Descending | Iteration: 2 | Time: 0.006071 ms
Array Size: 100000 | Order: Descending | Iteration: 3 | Time: 0.043525 ms
Array Size: 100000 | Order: Descending | Iteration: 4 | Time: 0.019552 ms
Array Size: 100000 | Order: Descending | Iteration: 5 | Time: 0.010315 ms
Algorithm: Linear Search | Array Size: 100000 | Order: Random | Avg Time: 0.015381 ms
Array Size: 100000 | Order: Random | Iteration: 1 | Time: 0.022793 ms
Array Size: 100000 | Order: Random | Iteration: 2 | Time: 0.011251 ms
Array Size: 100000 | Order: Random | Iteration: 3 | Time: 0.012064 ms
Array Size: 100000 | Order: Random | Iteration: 4 | Time: 0.026032 ms
Array Size: 100000 | Order: Random | Iteration: 5 | Time: 0.004766 ms
Algorithm: Linear Search | Array Size: 1000000 | Order: Ascending | Avg Time: 0.339416 ms
Array Size: 1000000 | Order: Ascending | Iteration: 1 | Time: 0.037553 ms
Array Size: 1000000 | Order: Ascending | Iteration: 2 | Time: 0.516088 ms
Array Size: 1000000 | Order: Ascending | Iteration: 3 | Time: 0.357229 ms
Array Size: 1000000 | Order: Ascending | Iteration: 4 | Time: 0.378772 ms
Array Size: 1000000 | Order: Ascending | Iteration: 5 | Time: 0.407438 ms
Algorithm: Linear Search | Array Size: 1000000 | Order: Descending | Avg Time: 0.240829 ms
Array Size: 1000000 | Order: Descending | Iteration: 1 | Time: 0.269039 ms
Array Size: 1000000 | Order: Descending | Iteration: 2 | Time: 0.222332 ms
Array Size: 1000000 | Order: Descending | Iteration: 3 | Time: 0.408532 ms
Array Size: 1000000 | Order: Descending | Iteration: 4 | Time: 0.019439 ms
Array Size: 1000000 | Order: Descending | Iteration: 5 | Time: 0.284805 ms
Algorithm: Linear Search | Array Size: 1000000 | Order: Random | Avg Time: 0.018981 ms
Array Size: 1000000 | Order: Random | Iteration: 1 | Time: 0.000754 ms
Array Size: 1000000 | Order: Random | Iteration: 2 | Time: 0.018528 ms
Array Size: 1000000 | Order: Random | Iteration: 3 | Time: 0.043419 ms
Array Size: 1000000 | Order: Random | Iteration: 4 | Time: 0.007936 ms
Array Size: 1000000 | Order: Random | Iteration: 5 | Time: 0.024269 ms
Algorithm: Linear Search | Array Size: 10000000 | Order: Ascending | Avg Time: 3.507324 ms
Array Size: 10000000 | Order: Ascending | Iteration: 1 | Time: 3.226140 ms
Array Size: 10000000 | Order: Ascending | Iteration: 2 | Time: 1.551112 ms
Array Size: 10000000 | Order: Ascending | Iteration: 3 | Time: 4.608731 ms
Array Size: 10000000 | Order: Ascending | Iteration: 4 | Time: 0.634354 ms
Array Size: 10000000 | Order: Ascending | Iteration: 5 | Time: 7.516287 ms
Algorithm: Linear Search | Array Size: 10000000 | Order: Descending | Avg Time: 4.926985 ms
Array Size: 10000000 | Order: Descending | Iteration: 1 | Time: 5.706760 ms
Array Size: 10000000 | Order: Descending | Iteration: 2 | Time: 2.083712 ms
Array Size: 10000000 | Order: Descending | Iteration: 3 | Time: 6.957473 ms
Array Size: 10000000 | Order: Descending | Iteration: 4 | Time: 7.444418 ms
Array Size: 10000000 | Order: Descending | Iteration: 5 | Time: 2.442565 ms
Algorithm: Linear Search | Array Size: 10000000 | Order: Random | Avg Time: 0.016887 ms
Array Size: 10000000 | Order: Random | Iteration: 1 | Time: 0.012868 ms
Array Size: 10000000 | Order: Random | Iteration: 2 | Time: 0.010297 ms
Array Size: 10000000 | Order: Random | Iteration: 3 | Time: 0.034301 ms
Array Size: 10000000 | Order: Random | Iteration: 4 | Time: 0.015134 ms
Array Size: 10000000 | Order: Random | Iteration: 5 | Time: 0.011837 ms
Algorithm: Linear Search | Array Size: 100000000 | Order: Ascending | Avg Time: 36.279279 ms
Array Size: 100000000 | Order: Ascending | Iteration: 1 | Time: 46.245100 ms
Array Size: 100000000 | Order: Ascending | Iteration: 2 | Time: 64.592001 ms
Array Size: 100000000 | Order: Ascending | Iteration: 3 | Time: 41.211984 ms
Array Size: 100000000 | Order: Ascending | Iteration: 4 | Time: 26.908282 ms
Array Size: 100000000 | Order: Ascending | Iteration: 5 | Time: 2.439029 ms
Algorithm: Linear Search | Array Size: 100000000 | Order: Descending | Avg Time: 23.763874 ms
Array Size: 100000000 | Order: Descending | Iteration: 1 | Time: 42.392156 ms
Array Size: 100000000 | Order: Descending | Iteration: 2 | Time: 6.710803 ms
Array Size: 100000000 | Order: Descending | Iteration: 3 | Time: 25.162206 ms
Array Size: 100000000 | Order: Descending | Iteration: 4 | Time: 16.821983 ms
Array Size: 100000000 | Order: Descending | Iteration: 5 | Time: 27.732222 ms
Algorithm: Linear Search | Array Size: 100000000 | Order: Random | Avg Time: 0.032018 ms
Array Size: 100000000 | Order: Random | Iteration: 1 | Time: 0.017121 ms
Array Size: 100000000 | Order: Random | Iteration: 2 | Time: 0.062395 ms
Array Size: 100000000 | Order: Random | Iteration: 3 | Time: 0.021276 ms
Array Size: 100000000 | Order: Random | Iteration: 4 | Time: 0.034992 ms
Array Size: 100000000 | Order: Random | Iteration: 5 | Time: 0.024309 ms
Algorithm: Linear Search | Array Size: 1000000000 | Order: Ascending | Avg Time: 1826.199220 ms
Array Size: 1000000000 | Order: Ascending | Iteration: 1 | Time: 3951.759879 ms
Array Size: 1000000000 | Order: Ascending | Iteration: 2 | Time: 1303.326261 ms
Array Size: 1000000000 | Order: Ascending | Iteration: 3 | Time: 2064.887159 ms
Array Size: 1000000000 | Order: Ascending | Iteration: 4 | Time: 595.311346 ms
Array Size: 1000000000 | Order: Ascending | Iteration: 5 | Time: 1215.711459 ms
Algorithm: Linear Search | Array Size: 1000000000 | Order: Descending | Avg Time: 440.570491 ms
Array Size: 1000000000 | Order: Descending | Iteration: 1 | Time: 100.057298 ms
Array Size: 1000000000 | Order: Descending | Iteration: 2 | Time: 831.347135 ms
